x,y
-5,-788
-4.75,-661.171875
-4.5,-548.625
-4.25,-449.515625
-4,-363
-3.75,-288.234375
-3.5,-224.375
-3.25,-170.578125
-3,-126
-2.75,-89.796875
-2.5,-61.125
-2.25,-39.140625
-2,-23
-1.75,-11.859375
-1.5,-4.875
-1.25,-1.203125
-1,0
-0.75,-0.421875
-0.5,-1.625
-0.25,-2.765625
0,-3
0.25,-1.484375
0.5,2.625
0.75,10.171875
1,22
1.25,38.953125
1.5,61.875
1.75,91.609375
2,129
2.25,174.890625
2.5,230.125
2.75,295.546875
3,372
3.25,460.328125
3.5,561.375
3.75,675.984375
4,805
4.25,949.265625
4.5,1109.625
