x;y1;y2
time(s);sample1;sample2
0.00;9.00;0.33
1.00;36.00;5.28
2.00;36.00;5.28
3.00;100.00;21.12
4.00;121.00;39.93
5.00;121.00;55.77
6.00;144.00;55.77
7.00;289.00;55.77
8.00;361.00;95.37
9.00;400.00;159.72
10.00;441.00;190.08
11.00;676.00;206.25
12.00;729.00;240.57
13.00;841.00;258.72
14.00;841.00;451.77
15.00;1089.00;451.77
16.00;1296.00;501.93
17.00;1521.00;528.00
18.00;1681.00;528.00
19.00;2025.00;554.73
20.00;2209.00;582.12
21.00;2401.00;668.25
22.00;2401.00;728.97
23.00;2704.00;760.32
24.00;3249.00;926.97
25.00;3721.00;1034.88
26.00;4356.00;1034.88
27.00;4624.00;1034.88
28.00;5329.00;1034.88
29.00;5625.00;1072.17
30.00;5929.00;1072.17
31.00;6084.00;1188.00
32.00;6084.00;1227.93
33.00;7225.00;1351.68
34.00;7225.00;1571.13
35.00;7569.00;1617.00
36.00;8100.00;1758.57
37.00;8836.00;1807.08
38.00;9025.00;1856.25
39.00;9409.00;1956.57
40.00;9604.00;1956.57
41.00;9801.00;1956.57
42.00;10609.00;2112.00
43.00;12100.00;2165.13
44.00;13225.00;2328.48
45.00;14641.00;2384.25
46.00;14884.00;2613.93
47.00;15129.00;2793.12
48.00;16129.00;2793.12
49.00;18769.00;2915.88
50.00;19600.00;3169.32
51.00;19881.00;3500.97
52.00;20164.00;3638.25
53.00;21316.00;4139.52
54.00;21609.00;4288.68
55.00;24025.00;4364.25
56.00;24025.00;4440.48
57.00;24336.00;4517.37
58.00;28561.00;4673.13
59.00;28900.00;5322.57
60.00;32041.00;5322.57
61.00;32400.00;5577.00
62.00;36100.00;5663.13
63.00;38025.00;5749.92
64.00;38416.00;6014.25
65.00;39601.00;6193.77
66.00;39601.00;6654.12
67.00;41209.00;6938.25
68.00;42436.00;7034.28
69.00;44100.00;7425.00
70.00;44100.00;7425.00
71.00;46225.00;7425.00
72.00;51076.00;7524.33
73.00;57121.00;7826.28
74.00;57121.00;7928.25
75.00;60025.00;8448.00
76.00;61009.00;8984.25
77.00;63504.00;9313.92
78.00;67081.00;10455.72
79.00;68644.00;12677.28
80.00;68644.00;12677.28
81.00;69696.00;13332.33
82.00;70756.00;13332.33
83.00;71289.00;14003.88
84.00;75076.00;14691.93
85.00;77841.00;15682.92
86.00;78961.00;18535.77
87.00;80089.00;20296.32
88.00;84681.00;21290.28
89.00;87025.00;21966.12
90.00;87616.00;23174.25
91.00;89401.00;23349.48
92.00;93025.00;23525.37
93.00;103041.00;23879.13
94.00;106276.00;24414.72
95.00;107584.00;25320.57
96.00;108900.00;25503.72
97.00;115600.00;29108.97
98.00;119716.00;29108.97
99.00;121801.00;29305.32
