Time Sample
0.000000000000000000e+00 3.104422922113240446e+00
5.102040816326530726e-02 3.379839857613078369e+00
1.020408163265306145e-01 3.797331150877651940e+00
1.530612244897959218e-01 4.526940754774813946e+00
2.040816326530612290e-01 4.698560409314831432e+00
2.551020408163265363e-01 4.707879158885788229e+00
3.061224489795918435e-01 5.355415234698218896e+00
3.571428571428571508e-01 5.399915349157856426e+00
4.081632653061224580e-01 5.587551085007442353e+00
4.591836734693877653e-01 5.486079091314347345e+00
5.102040816326530726e-01 5.677831174194262864e+00
5.612244897959184353e-01 6.023236470869551162e+00
6.122448979591836871e-01 5.866172655920892431e+00
6.632653061224489388e-01 5.869391727254321900e+00
7.142857142857143016e-01 6.277947326443752196e+00
7.653061224489796643e-01 5.931552811485500065e+00
8.163265306122449161e-01 6.219323934648052443e+00
8.673469387755101678e-01 5.822956089658878120e+00
9.183673469387755306e-01 6.063234684707791367e+00
9.693877551020408934e-01 6.003879373425311528e+00
1.020408163265306145e+00 5.690587043316301497e+00
1.071428571428571397e+00 5.834487526471884955e+00
1.122448979591836871e+00 5.594242058490261016e+00
1.173469387755102122e+00 5.460885822149007751e+00
1.224489795918367374e+00 5.653070857699841412e+00
1.275510204081632626e+00 5.123509767941801130e+00
1.326530612244897878e+00 5.428932572430893444e+00
1.377551020408163351e+00 5.358168717739082432e+00
1.428571428571428603e+00 5.140215313555048127e+00
1.479591836734693855e+00 5.063876826086875838e+00
1.530612244897959329e+00 4.727207617273393225e+00
1.581632653061224580e+00 4.892110311491279617e+00
1.632653061224489832e+00 4.728058025658708807e+00
1.683673469387755084e+00 5.021297431412923729e+00
1.734693877551020336e+00 4.663421189256652610e+00
1.785714285714285809e+00 4.597306836129596341e+00
1.836734693877551061e+00 4.585867900074795500e+00
1.887755102040816313e+00 4.682068188427613187e+00
1.938775510204081787e+00 4.927201480665893030e+00
1.989795918367347038e+00 4.701184826739044809e+00
2.040816326530612290e+00 5.009771656789079763e+00
2.091836734693877542e+00 5.371799817201327265e+00
2.142857142857142794e+00 5.334239601610784476e+00
2.193877551020408045e+00 5.448581277248239374e+00
2.244897959183673741e+00 5.563768846147802982e+00
2.295918367346938993e+00 5.927524589351884643e+00
2.346938775510204245e+00 6.081656430877009356e+00
2.397959183673469497e+00 6.434590553421943859e+00
2.448979591836734748e+00 7.076660543284482685e+00
2.500000000000000000e+00 7.373338138008240783e+00
